chunk_id,file_name,heading_path,start_line,end_line,tokens,anchor_fragment,jump_url,text,source_path,char_start,char_end,source_url
b84497ba-7b37-4b5e-872e-0e7a021945ad,Abbreviations.md,['Abbreviations'],1,6,23,#abbreviations,,"# Abbreviations
Abbreviations are shortened words. They can hinder people’s understanding, so they have limited uses.
---",Style Guide Content/Abbreviations.md,0,121,
0a05fecd-001c-4c4e-9e5c-c89f37fa2a25,Abbreviations.md,"['Abbreviations', 'Guidance']",7,16,57,#abbreviations/guidance,,"## Guidance
- Limit the use of abbreviations  
- Don’t put a full stop after most abbreviations  
- Capitalise the same way as the spelt-out version  
- Don’t abbreviate the first word in a sentence  
- Add ‘s’ to create plural abbreviations
---",Style Guide Content/Abbreviations.md,123,368,
2b3abcba-fec8-41a9-b985-5c4eaf670d47,Abbreviations.md,"['Abbreviations', 'Limit the use of abbreviations']",17,57,340,#abbreviations/limit-the-use-of-abbreviations,,"## Limit the use of abbreviations
Abbreviations contain the first single letter or first few letters of a word. They don’t include the last letter of a word.
**Example**
> app for ‘appendix’  
> vol for ‘volume’  
> cont for ‘continued’  
> p for ‘page’  
> para for ‘paragraph’
Abbreviations are generally not good for readability and can be misunderstood. Avoid using them in general content where possible.
**Like this**
> Thank you for your email about errors in the third paragraph of the webpage *How to apply for a special use permit*.
**Not this**
> Thank you for your email about errors in the third para of the webpage *How to apply for a special use permit*.
Abbreviations are useful in very limited circumstances:
- in a table or chart, where space is unavailable for the full form of the word – provide a note under the table or chart giving the full form  
- when using ‘cont’ to show continuing text in another part of content (for example, on another page of a print newsletter) – the full form of the word is more helpful where space allows.
Semi-formal and informal content uses abbreviations more often. Use abbreviations only if users will understand what they mean. If there’s any doubt, define the abbreviation on first use.
Avoid using abbreviations in any public-facing content.
---
### Accessibility requirements
Avoid (or explain) unusual words, phrases, idioms and so on.
**WCAG quick reference:**
- 3.1.3 Unusual words – level AAA  
- 3.1.4 Abbreviations – level AAA
---",Style Guide Content/Abbreviations.md,370,1868,
c994c4de-37d4-4df1-8cc7-23caaeca9608,Abbreviations.md,"['Abbreviations', 'Don’t put a full stop after most abbreviations']",58,76,198,#abbreviations/dont-put-a-full-stop-after-most-abbreviations,,"## Don’t put a full stop after most abbreviations
Don’t place a full stop after an abbreviation.
**Exceptions:**
- when the abbreviation ends a sentence and isn’t followed by another punctuation mark  
- for abbreviations of scientific names for plants and animals  
- for the abbreviation ‘n.d.’ (meaning ‘no date’) for the year of publication in references.
**Example**
> It’s listed as a container of ‘misc goods’. [No full stop after the abbreviation]  
> The full name of the company is Sizzling Outback Tours Inc. [A full stop after the abbreviation ends the sentence]  
> Have you reviewed the relevant para? [No full stop after the abbreviation: another punctuation mark ends the sentence]  
> *Xanthorrhoea glauca subsp. angustifolia* [Full stop in the abbreviation for ‘subspecies’]  
> Office of Parliamentary Counsel (n.d.) *Glossary*, Federal Register of Legislation website, accessed 12 January 2020. [No date of publication on this webpage]
---",Style Guide Content/Abbreviations.md,1870,2829,
a6b1eb57-8543-4e36-b32e-7dd626fb0425,Abbreviations.md,"['Abbreviations', 'Capitalise the same way as the spelt-out version']",77,86,37,#abbreviations/capitalise-the-same-way-as-the-spelt-out-version,,"## Capitalise the same way as the spelt-out version
Use the same capitalisation as for the unabbreviated word.
**Example**
> misc for ‘miscellaneous’  
> Dec for ‘December’
---",Style Guide Content/Abbreviations.md,2831,3007,
64aa5630-1850-4f45-a3a7-0132c84d2118,Abbreviations.md,"['Abbreviations', 'Don’t abbreviate the first word in a sentence']",87,95,36,#abbreviations/dont-abbreviate-the-first-word-in-a-sentence,,"## Don’t abbreviate the first word in a sentence
Write out the abbreviated term in full.
**Example**
> Appendix B explains this further. [Not ‘App B’]
---",Style Guide Content/Abbreviations.md,3009,3163,
ee8415cc-0f03-43c1-9b96-5ab845260cf8,Abbreviations.md,"['Abbreviations', 'Add ‘s’ to create plural abbreviations']",96,105,51,#abbreviations/add-s-to-create-plural-abbreviations,,"## Add ‘s’ to create plural abbreviations
Add an ‘s’. One exception is ‘pp’ (pages), which is used when referring to multiple pages.
**Example**
> I’ve sent you some paras to check.  
> Refer to pp 58–64.
---",Style Guide Content/Abbreviations.md,3165,3373,
0fb5bbe1-0040-4694-bc5d-69ce4801fdb3,Abbreviations.md,"['Abbreviations', 'Release notes']",106,123,259,#abbreviations/release-notes,,"## Release notes
The digital edition recommends avoiding use of abbreviations in general content, and in any public-facing content. It follows the *Content Guide’s* advice to avoid using Latin shortened forms.
The digital edition lists common shortened forms and provides advice on the limited circumstances where they could be used and how to punctuate them.
This is a departure from advice in the sixth edition, which listed ‘thoroughly anglicised’ shortened forms used regularly in publications. It did not explicitly warn against their use. The sixth edition recommended against using ‘i.e.’, ‘e.g.’ and ‘etc.’ in paragraph text and in formal content.
The digital edition removes the sixth edition requirement to use full stops with non-Latin abbreviations. Exceptions to this rule are:
- Latin shortened forms (including for the formal names of plants and animals)  
- the abbreviation for ‘no date’ (n.d.) used in referencing and citation.
The new general rule is supported by corpus information checked with the Australian National Dictionary Centre. It is consistent with the recommendation to use minimal punctuation. The removal of full stops affects style for abbreviations of:
- Australian place names  
- organisation names  
- months and days of the week.",Style Guide Content/Abbreviations.md,3375,4644,
3b7f4499-6a1c-49cd-b92a-11460f6d365b,Academics and professionals.md,['Academics and professionals'],1,6,48,#academics-and-professionals,,"# Academics and professionals
Follow these rules to address and title academics and professionals correctly. The guidance focuses on academics, medical practitioners, dentists and veterinarians. Apply the rules when writing about individuals in other professions.
---",Style Guide Content/Academics and professionals.md,0,267,
17c62bed-4b51-4590-9b8c-ce6102ee1c36,Academics and professionals.md,"['Academics and professionals', 'Guidance']",7,21,109,#academics-and-professionals/guidance,,"## Guidance
- Use initial capitals for the titles of individual academics and professionals  
- Use full titles in certain contexts  
- Titles immediately before a name  
- Titles that replace a name  
- Titles after a name  
- Use lower case for titles used in a generic way  
- Use title, name and post-nominals at first mention  
- Write post-nominals after the name in academic and professional titles  
- Titles for academics  
- Titles for medical practitioners, dentists and veterinarians
---",Style Guide Content/Academics and professionals.md,269,768,
